English,Japanese,context
analyse,分析,I must analyse the data.
analysed,	分析,I analysed the data.
analyser,	分析する,He is an analyser.
analysers,	アナライザー,They are analysers.
analyses,	分析,We found several analyses.
analysing,	分析,I have been analysing the data.
analysis,	解析,The analysis was thorough.
analyst,	アナリスト,The analyst reviewed the data carefully.
analysts,	アナリスト,He is a data analyst.
analytic,	分析,She gave an analytic summary of the findings.
analytical,	分析,He has a very analytical mind.
analytically,	解析的,He thinks analytically.
analyze,	分析する,I need to analyze this.
analyzed,	分析,I analyzed the report.
analyzes,	分析,We found several analyzes.
analyzing,	分析,They are analyzing the results.
approach,接近,His approach to the problem was unique.
approachable,	親しみ やすい,The manager was friendly and approachable.
approached,	近づいて,I approached the report.
approaches,	アプローチ,We found several approaches.
approaching,	接近,They are approaching the results.
unapproachable,	近寄りがたい,He seemed cold and unapproachable at work.
area,面積,We calculated the area of the triangle.
areas,	領域,We found several areas.
assess,割り振る,We need to assess the risks first.
assessable,	課税,Only assessable income was included in the report.
assessed,	評価,I assessed the report.
assesses,	評価,We found several assesses.
assessing,	評価,They are assessing the results.
assessment,	査定,The final assessment was based on multiple tests.
assessments,	評価,We found several assessments.
reassess,	再評価,We had to reassess our strategy after the meeting.
reassessed,	再評価,I reassessed the report.
reassessing,	再評価,They are reassessing the results.
reassessment,	再評価,"After failing the exam, he asked for a reassessment of his grade."
unassessed,	未評価,I unassessed the report.
assume,決め込む,We often assume things without enough evidence.
assumed,	想定,I assumed the report.
assumes,	仮定,We found several assumes.
assuming,	仮定する,They are assuming the results.
assumption,	仮定,"Her assumption was wrong, and it caused a problem."
assumptions,	仮定,We found several assumptions.
authority,権限	,The manager used his authority to change the schedule.
authoritative,	儼然,The teacher had an authoritative manner.
authorities,	官憲,We found several authorities.
available,利用できる,Rice is no longer available at my local supermarket.
availability,	可用性,The lack of availability of rice is worrying for restaurant owners.
unavailable,	使用禁止,The doctor is currently unavailable for appointments.
benefit,益,Regular exercise has many health benefits.
beneficial,	有益,Drinking water is beneficial to your health.
beneficiary,	受益者,Try to use the word 'beneficiary' in a short sentence.
beneficiaries,	受益者,We found several beneficiaries.
benefited,	恩恵,I benefited the report.
benefiting,	利益,They are benefiting the results.
benefits,	利点,We found several benefits.
concept,概念,Try to use the word 'concept' in a short sentence.
conception,	受胎,Try to use the word 'conception' in a short sentence.
concepts,	概念,We found several concepts.
conceptual,	概念的,Try to use the word 'conceptual' in a short sentence.
conceptualisation,	概念化,Try to use the word 'conceptualisation' in a short sentence.
conceptualise,	概念化,Try to use the word 'conceptualise' in a short sentence.
conceptualised,	概念化,I conceptualised the report.
conceptualises,	概念化,We found several conceptualises.
conceptualising,	概念化,They are conceptualising the results.
conceptually,	概念的,Try to use the word 'conceptually' in a short sentence.
consist,成り立つ,Try to use the word 'consist' in a short sentence.
consisted,	構成,I consisted the report.
consistency,	一貫性,Try to use the word 'consistency' in a short sentence.
consistent,	首尾一貫した,Try to use the word 'consistent' in a short sentence.
consistently,	常,Try to use the word 'consistently' in a short sentence.
consisting,	構成されている,They are consisting the results.
consists,	で構成されています,We found several consists.
inconsistencies,	不整合,We found several inconsistencies.
inconsistency,	矛盾,Try to use the word 'inconsistency' in a short sentence.
inconsistent,	辻褄の合わない,Try to use the word 'inconsistent' in a short sentence.
constitute,構成する,Try to use the word 'constitute' in a short sentence.
constituencies,	選挙 区,We found several constituencies.
constituency,	選挙 区,Try to use the word 'constituency' in a short sentence.
constituent,	アール,Try to use the word 'constituent' in a short sentence.
constituents,	成分,We found several constituents.
constituted,	構成,I constituted the report.
constitutes,	構成,We found several constitutes.
constituting,	構成,They are constituting the results.
constitution,	憲法,Try to use the word 'constitution' in a short sentence.
constitutions,	憲法,We found several constitutions.
constitutional,	憲法,Try to use the word 'constitutional' in a short sentence.
constitutionally,	憲法,Try to use the word 'constitutionally' in a short sentence.
constitutive,	構成,Try to use the word 'constitutive' in a short sentence.
unconstitutional,	違憲,Try to use the word 'unconstitutional' in a short sentence.
context,文脈,Try to use the word 'context' in a short sentence.
contexts,	コンテキスト,We found several contexts.
contextual,	コンテキスト,Try to use the word 'contextual' in a short sentence.
contextualise,	コンテキスト化,Try to use the word 'contextualise' in a short sentence.
contextualised,	コンテクスト化,I contextualised the report.
contextualising,	コンテクスト化,They are contextualising the results.
uncontextualised,	文脈化されていない,I uncontextualised the report.
contextualize,	文脈,Try to use the word 'contextualize' in a short sentence.
contextualized,	コンテキスト化,I contextualized the report.
contextualizing,	コンテクスト化,They are contextualizing the results.
uncontextualized,	非文脈化,I uncontextualized the report.
contract,契約,Try to use the word 'contract' in a short sentence.
contracted,	契約,I contracted the report.
contracting,	契約,They are contracting the results.
contractor,	請負人,She is an contractor.
contractors,	請負業 者,We found several contractors.
contracts,	契約,We found several contracts.
create,創造する,She wants to create her own website.
created,	作成,I created the report.
creates,	作成,We found several creates.
creating,	作成,They are creating the results.
creation,	創造,Try to use the word 'creation' in a short sentence.
creations,	作品,We found several creations.
creative,	創造的な,Try to use the word 'creative' in a short sentence.
creatively,	創造,Try to use the word 'creatively' in a short sentence.
creativity,	創造性,Try to use the word 'creativity' in a short sentence.
creator,	造物主,She is an creator.
creators,	クリエイター,We found several creators.
recreate,	再現,Try to use the word 'recreate' in a short sentence.
recreated,	再現,I recreated the report.
recreates,	再現,We found several recreates.
recreating,	再現,They are recreating the results.
data,データ,Try to use the word 'data' in a short sentence.
define,定義する,Can you define the term clearly?
definable,	定義,Try to use the word 'definable' in a short sentence.
defined,	定義,I defined the report.
defines,	定義,We found several defines.
defining,	定義,They are defining the results.
definition,	定義,Try to use the word 'definition' in a short sentence.
definitions,	定義,We found several definitions.
redefine,	定義,Try to use the word 'redefine' in a short sentence.
redefined,	定義,I redefined the report.
redefines,	再,We found several redefines.
redefining,	再,They are redefining the results.
undefined,	未定義,I undefined the report.
derive,導き出す,Try to use the word 'derive' in a short sentence.
derivation,	派生,Try to use the word 'derivation' in a short sentence.
derivations,	派生,We found several derivations.
derivative,	派生語,Try to use the word 'derivative' in a short sentence.
derivatives,	誘導 体,We found several derivatives.
derived,	派生,I derived the report.
derives,	派生,We found several derives.
deriving,	派生,They are deriving the results.
distribute,配る,Try to use the word 'distribute' in a short sentence.
distributed,	分散,I distributed the report.
distributing,	配布,They are distributing the results.
distribution,	流通,Try to use the word 'distribution' in a short sentence.
distributional,	分布,Try to use the word 'distributional' in a short sentence.
distributions,	分布,We found several distributions.
distributive,	分配,Try to use the word 'distributive' in a short sentence.
distributor,	ディストリビューター,She is an distributor.
distributors,	代理店,We found several distributors.
redistribute,	再 分配,Try to use the word 'redistribute' in a short sentence.
redistributed,	再 分配,I redistributed the report.
redistributes,	再配布,We found several redistributes.
redistributing,	再 分配,They are redistributing the results.
redistribution,	再配分,Try to use the word 'redistribution' in a short sentence.
economy,経済,Try to use the word 'economy' in a short sentence.
economic,	経済的,Try to use the word 'economic' in a short sentence.
economical,	徳用,Try to use the word 'economical' in a short sentence.
economically,	経済的,Try to use the word 'economically' in a short sentence.
economics,	経済学,We found several economics.
economies,	経済,We found several economies.
economist,	エコノミスト,Try to use the word 'economist' in a short sentence.
economists,	エコノミスト,We found several economists.
uneconomical,	不経済,Try to use the word 'uneconomical' in a short sentence.
environment,環境,Try to use the word 'environment' in a short sentence.
environmental,	環境,Try to use the word 'environmental' in a short sentence.
environmentalist,	環境保護主義者,Try to use the word 'environmentalist' in a short sentence.
environmentalists,	環境,We found several environmentalists.
environmentally,	環境,Try to use the word 'environmentally' in a short sentence.
environments,	環境,We found several environments.
establish,作る,The group wants to establish a community center.
disestablish,	ディスエスタブルメント,Try to use the word 'disestablish' in a short sentence.
disestablished,	確立されていない,I disestablished the report.
disestablishes,	ディスアソシエーション,We found several disestablishes.
disestablishing,	ディスアスティッシング,They are disestablishing the results.
disestablishment,	ディスエスタブリッシュメント,Try to use the word 'disestablishment' in a short sentence.
established,	既成,I established the report.
establishes,	確立,We found several establishes.
establishing,	確立,They are establishing the results.
establishment,	確立,Try to use the word 'establishment' in a short sentence.
establishments,	施設,We found several establishments.
estimate,見積もる,Try to use the word 'estimate' in a short sentence.
estimated,	推定,I estimated the report.
estimates,	見積もり,We found several estimates.
estimating,	推定,They are estimating the results.
estimation,	推定,Try to use the word 'estimation' in a short sentence.
estimations,	見積もり,We found several estimations.
over estimate,	買い被る,Try to use the word 'over estimate' in a short sentence.
overestimate,	買い被る,Try to use the word 'overestimate' in a short sentence.
overestimated,	過大 評価,I overestimated the report.
overestimates,	過大評価,We found several overestimates.
overestimating,	過大 評価,They are overestimating the results.
underestimate,	過小評価する,Try to use the word 'underestimate' in a short sentence.
underestimated,	過小 評価,I underestimated the report.
underestimates,	過小 評価,We found several underestimates.
underestimating,	過小 評価,They are underestimating the results.
evident,明らか,Try to use the word 'evident' in a short sentence.
evidenced,	証明,I evidenced the report.
evidence,	証拠,Try to use the word 'evidence' in a short sentence.
evidential,	証拠,Try to use the word 'evidential' in a short sentence.
evidently,	明らかに,Try to use the word 'evidently' in a short sentence.
export,輸出,Try to use the word 'export' in a short sentence.
exported,	エクスポート,I exported the report.
exporter,	輸出,She is an exporter.
exporters,	輸出 業者,We found several exporters.
exporting,	エクスポート,They are exporting the results.
exports,	輸出,We found several exports.
factor,因子,She is an factor.
factored,	考慮,I factored the report.
factoring,	ファクタリング,They are factoring the results.
factors,	要因,We found several factors.
finance,金融,Try to use the word 'finance' in a short sentence.
financed,	融資,I financed the report.
finances,	金融,We found several finances.
financial,	金融,Try to use the word 'financial' in a short sentence.
financially,	財政,Try to use the word 'financially' in a short sentence.
financier,	金融,She is an financier.
financiers,	金融,We found several financiers.
financing,	融資,They are financing the results.
formula,式,Try to use the word 'formula' in a short sentence.
formulae,	式,Try to use the word 'formulae' in a short sentence.
formulas,	数式,We found several formulas.
formulate,	定式化する,Try to use the word 'formulate' in a short sentence.
formulated,	策定,I formulated the report.
formulating,	策定,They are formulating the results.
formulation,	定式 化,Try to use the word 'formulation' in a short sentence.
formulations,	製剤,We found several formulations.
reformulate,	再定式化,Try to use the word 'reformulate' in a short sentence.
reformulated,	再処方,I reformulated the report.
reformulating,	再定式化,They are reformulating the results.
reformulation,	改質,Try to use the word 'reformulation' in a short sentence.
reformulations,	再定式化,We found several reformulations.
function,機能,Try to use the word 'function' in a short sentence.
functional,	機能的な,Try to use the word 'functional' in a short sentence.
functionally,	機能的,Try to use the word 'functionally' in a short sentence.
functioned,	作用,I functioned the report.
functioning,	機能,They are functioning the results.
functions,	関数,We found several functions.
identify,識別する,Try to identify the main idea of the passage.
identifiable,	識別,Try to use the word 'identifiable' in a short sentence.
identification,	識別,Try to use the word 'identification' in a short sentence.
identified,	識別,I identified the report.
identifies,	識別,We found several identifies.
identifying,	判明,They are identifying the results.
identities,	アイデンティティ,We found several identities.
identity,	同一性,Try to use the word 'identity' in a short sentence.
unidentifiable,	正体 不明,Try to use the word 'unidentifiable' in a short sentence.
income,収入,Try to use the word 'income' in a short sentence.
incomes,	収入,We found several incomes.
indicate,示す,The sign will indicate where to go.
indicated,	示さ れた,I indicated the report.
indicates,	示す,We found several indicates.
indicating,	示す,They are indicating the results.
indication,	表示,Try to use the word 'indication' in a short sentence.
indications,	徴候,We found several indications.
indicative,	直説法,Try to use the word 'indicative' in a short sentence.
indicator,	インジケータ,She is an indicator.
indicators,	指標,We found several indicators.
individual,個体,Try to use the word 'individual' in a short sentence.
individualised,	個別化,I individualised the report.
individuality,	個性,Try to use the word 'individuality' in a short sentence.
individualism,	個人主義,Try to use the word 'individualism' in a short sentence.
individualist,	インディビジュアリスト,Try to use the word 'individualist' in a short sentence.
individualists,	個人主義者,We found several individualists.
individualistic,	個人,Try to use the word 'individualistic' in a short sentence.
individually,	個別的に,Try to use the word 'individually' in a short sentence.
individuals,	個人,We found several individuals.
interpret,解釈する,She can interpret the poem in many ways.
interpretation,	解釈,Try to use the word 'interpretation' in a short sentence.
interpretations,	解釈,We found several interpretations.
interpretative,	解釈,Try to use the word 'interpretative' in a short sentence.
interpreted,	解釈,I interpreted the report.
interpreting,	解釈,They are interpreting the results.
interpretive,	解釈,Try to use the word 'interpretive' in a short sentence.
interprets,	解釈,We found several interprets.
misinterpret,	誤解,Try to use the word 'misinterpret' in a short sentence.
misinterpretation,	誤解,Try to use the word 'misinterpretation' in a short sentence.
misinterpretations,	誤解,We found several misinterpretations.
misinterpreted,	誤って 解釈,I misinterpreted the report.
misinterpreting,	誤って 解釈,They are misinterpreting the results.
misinterprets,	誤解,We found several misinterprets.
reinterpret,	解釈,Try to use the word 'reinterpret' in a short sentence.
reinterpreted,	解釈,I reinterpreted the report.
reinterprets,	再,We found several reinterprets.
reinterpreting,	再,They are reinterpreting the results.
reinterpretation,	解釈,Try to use the word 'reinterpretation' in a short sentence.
reinterpretations,	再解釈,We found several reinterpretations.
involve,巻き込む,Try to use the word 'involve' in a short sentence.
involved,	複雑,I involved the report.
involvement,	関与,Try to use the word 'involvement' in a short sentence.
involves,	含む,We found several involves.
involving,	含む,They are involving the results.
uninvolved,	関与していない,I uninvolved the report.
issue,発行,Try to use the word 'issue' in a short sentence.
issued,	発行,I issued the report.
issues,	問題,We found several issues.
issuing,	発行,They are issuing the results.
labour,労働,Try to use the word 'labour' in a short sentence.
labor,	労働,She is an labor.
labored,	こじつけ,I labored the report.
labors,	労働,We found several labors.
laboured,	苦心,I laboured the report.
labouring,	労働,They are labouring the results.
labours,	労働,We found several labours.
legal,合法,Try to use the word 'legal' in a short sentence.
illegal,	違法,Try to use the word 'illegal' in a short sentence.
illegality,	違法,Try to use the word 'illegality' in a short sentence.
illegally,	違法に,Try to use the word 'illegally' in a short sentence.
