English,Japanese,context
analyse,分析,I must analyse the data.
analysed,	分析,I analysed the data.
analyser,	分析する,He is an analyser.
analysers,	アナライザー,They are analysers.
analyses,	分析,We found several analyses.
analysing,	分析,I have been analysing the data.
analysis,	解析,The analysis was thorough.
analyst,	アナリスト,The analyst reviewed the data carefully.
analysts,	アナリスト,He is a data analyst.
analytic,	分析,She gave an analytic summary of the findings.
analytical,	分析,He has a very analytical mind.
analytically,	解析的,He thinks analytically.
analyze,	分析する,I need to analyze this.
analyzed,	分析,I analyzed the report.
analyzes,	分析,We found several analyzes.
analyzing,	分析,They are analyzing the results.
approach,接近,His approach to the problem was unique.
approachable,	親しみ やすい,The manager was friendly and approachable.
approached,	近づいて,I approached the report.
approaches,	アプローチ,We found several approaches.
approaching,	接近,They are approaching the results.
unapproachable,	近寄りがたい,He seemed cold and unapproachable at work.
area,面積,We calculated the area of the triangle.
areas,	領域,We found several areas.
assess,割り振る,We need to assess the risks first.
assessable,	課税,Only assessable income was included in the report.
assessed,	評価,I assessed the report.
assesses,	評価,We found several assesses.
assessing,	評価,They are assessing the results.
assessment,	査定,The final assessment was based on multiple tests.
assessments,	評価,We found several assessments.
reassess,	再評価,We had to reassess our strategy after the meeting.
reassessed,	再評価,I reassessed the report.
reassessing,	再評価,They are reassessing the results.
reassessment,	再評価,"After failing the exam, he asked for a reassessment of his grade."
unassessed,	未評価,I unassessed the report.
assume,決め込む,We often assume things without enough evidence.
assumed,	想定,I assumed the report.
assumes,	仮定,We found several assumes.
assuming,	仮定する,They are assuming the results.
assumption,	仮定,"The concept of 'assumption' plays an important role in many real-life situations, helping us better understand and use it effectively."
assumptions,	仮定,We found several assumptions.
authority,権限	,"The concept of 'authority' plays an important role in many real-life situations, helping us better understand and use it effectively."
authoritative,	儼然,"The concept of 'authoritative' plays an important role in many real-life situations, helping us better understand and use it effectively."
authorities,	官憲,We found several authorities.
available,利用できる,"The concept of 'available' plays an important role in many real-life situations, helping us better understand and use it effectively."
availability,	可用性,"The concept of 'availability' plays an important role in many real-life situations, helping us better understand and use it effectively."
unavailable,	使用禁止,"The concept of 'unavailable' plays an important role in many real-life situations, helping us better understand and use it effectively."
benefit,益,"The concept of 'benefit' plays an important role in many real-life situations, helping us better understand and use it effectively."
beneficial,	有益,"The concept of 'beneficial' plays an important role in many real-life situations, helping us better understand and use it effectively."
beneficiary,	受益者,"The concept of 'beneficiary' plays an important role in many real-life situations, helping us better understand and use it effectively."
beneficiaries,	受益者,We found several beneficiaries.
benefited,	恩恵,I benefited the report.
benefiting,	利益,They are benefiting the results.
benefits,	利点,We found several benefits.
concept,概念,"The concept of 'concept' plays an important role in many real-life situations, helping us better understand and use it effectively."
conception,	受胎,"The concept of 'conception' plays an important role in many real-life situations, helping us better understand and use it effectively."
concepts,	概念,We found several concepts.
conceptual,	概念的,"The concept of 'conceptual' plays an important role in many real-life situations, helping us better understand and use it effectively."
conceptualisation,	概念化,"The concept of 'conceptualisation' plays an important role in many real-life situations, helping us better understand and use it effectively."
conceptualise,	概念化,"The concept of 'conceptualise' plays an important role in many real-life situations, helping us better understand and use it effectively."
conceptualised,	概念化,I conceptualised the report.
conceptualises,	概念化,We found several conceptualises.
conceptualising,	概念化,They are conceptualising the results.
conceptually,	概念的,"The concept of 'conceptually' plays an important role in many real-life situations, helping us better understand and use it effectively."
consist,成り立つ,"The concept of 'consist' plays an important role in many real-life situations, helping us better understand and use it effectively."
consisted,	構成,I consisted the report.
consistency,	一貫性,"The concept of 'consistency' plays an important role in many real-life situations, helping us better understand and use it effectively."
consistent,	首尾一貫した,"The concept of 'consistent' plays an important role in many real-life situations, helping us better understand and use it effectively."
consistently,	常,"The concept of 'consistently' plays an important role in many real-life situations, helping us better understand and use it effectively."
consisting,	構成されている,They are consisting the results.
consists,	で構成されています,We found several consists.
inconsistencies,	不整合,We found several inconsistencies.
inconsistency,	矛盾,"The concept of 'inconsistency' plays an important role in many real-life situations, helping us better understand and use it effectively."
inconsistent,	辻褄の合わない,"The concept of 'inconsistent' plays an important role in many real-life situations, helping us better understand and use it effectively."
constitute,構成する,"The concept of 'constitute' plays an important role in many real-life situations, helping us better understand and use it effectively."
constituencies,	選挙 区,We found several constituencies.
constituency,	選挙 区,"The concept of 'constituency' plays an important role in many real-life situations, helping us better understand and use it effectively."
constituent,	アール,"The concept of 'constituent' plays an important role in many real-life situations, helping us better understand and use it effectively."
constituents,	成分,We found several constituents.
constituted,	構成,I constituted the report.
constitutes,	構成,We found several constitutes.
constituting,	構成,They are constituting the results.
constitution,	憲法,"The concept of 'constitution' plays an important role in many real-life situations, helping us better understand and use it effectively."
constitutions,	憲法,We found several constitutions.
constitutional,	憲法,"The concept of 'constitutional' plays an important role in many real-life situations, helping us better understand and use it effectively."
constitutionally,	憲法,"The concept of 'constitutionally' plays an important role in many real-life situations, helping us better understand and use it effectively."
constitutive,	構成,"The concept of 'constitutive' plays an important role in many real-life situations, helping us better understand and use it effectively."
unconstitutional,	違憲,"The concept of 'unconstitutional' plays an important role in many real-life situations, helping us better understand and use it effectively."
context,文脈,"The concept of 'context' plays an important role in many real-life situations, helping us better understand and use it effectively."
contexts,	コンテキスト,We found several contexts.
contextual,	コンテキスト,"The concept of 'contextual' plays an important role in many real-life situations, helping us better understand and use it effectively."
contextualise,	コンテキスト化,"The concept of 'contextualise' plays an important role in many real-life situations, helping us better understand and use it effectively."
contextualised,	コンテクスト化,I contextualised the report.
contextualising,	コンテクスト化,They are contextualising the results.
uncontextualised,	文脈化されていない,I uncontextualised the report.
contextualize,	文脈,"The concept of 'contextualize' plays an important role in many real-life situations, helping us better understand and use it effectively."
contextualized,	コンテキスト化,I contextualized the report.
contextualizing,	コンテクスト化,They are contextualizing the results.
uncontextualized,	非文脈化,I uncontextualized the report.
contract,契約,"The concept of 'contract' plays an important role in many real-life situations, helping us better understand and use it effectively."
contracted,	契約,I contracted the report.
contracting,	契約,They are contracting the results.
contractor,	請負人,She is an contractor.
contractors,	請負業 者,We found several contractors.
contracts,	契約,We found several contracts.
create,創造する,"The concept of 'create' plays an important role in many real-life situations, helping us better understand and use it effectively."
created,	作成,I created the report.
creates,	作成,We found several creates.
creating,	作成,They are creating the results.
creation,	創造,"The concept of 'creation' plays an important role in many real-life situations, helping us better understand and use it effectively."
creations,	作品,We found several creations.
creative,	創造的な,"The concept of 'creative' plays an important role in many real-life situations, helping us better understand and use it effectively."
creatively,	創造,"The concept of 'creatively' plays an important role in many real-life situations, helping us better understand and use it effectively."
creativity,	創造性,"The concept of 'creativity' plays an important role in many real-life situations, helping us better understand and use it effectively."
creator,	造物主,She is an creator.
creators,	クリエイター,We found several creators.
recreate,	再現,"The concept of 'recreate' plays an important role in many real-life situations, helping us better understand and use it effectively."
recreated,	再現,I recreated the report.
recreates,	再現,We found several recreates.
recreating,	再現,They are recreating the results.
data,データ,"The concept of 'data' plays an important role in many real-life situations, helping us better understand and use it effectively."
define,定義する,"The concept of 'define' plays an important role in many real-life situations, helping us better understand and use it effectively."
definable,	定義,"The concept of 'definable' plays an important role in many real-life situations, helping us better understand and use it effectively."
defined,	定義,I defined the report.
defines,	定義,We found several defines.
defining,	定義,They are defining the results.
definition,	定義,"The concept of 'definition' plays an important role in many real-life situations, helping us better understand and use it effectively."
definitions,	定義,We found several definitions.
redefine,	定義,"The concept of 'redefine' plays an important role in many real-life situations, helping us better understand and use it effectively."
redefined,	定義,I redefined the report.
redefines,	再,We found several redefines.
redefining,	再,They are redefining the results.
undefined,	未定義,I undefined the report.
derive,導き出す,"The concept of 'derive' plays an important role in many real-life situations, helping us better understand and use it effectively."
derivation,	派生,"The concept of 'derivation' plays an important role in many real-life situations, helping us better understand and use it effectively."
derivations,	派生,We found several derivations.
derivative,	派生語,"The concept of 'derivative' plays an important role in many real-life situations, helping us better understand and use it effectively."
derivatives,	誘導 体,We found several derivatives.
derived,	派生,I derived the report.
derives,	派生,We found several derives.
deriving,	派生,They are deriving the results.
distribute,配る,"The concept of 'distribute' plays an important role in many real-life situations, helping us better understand and use it effectively."
distributed,	分散,I distributed the report.
distributing,	配布,They are distributing the results.
distribution,	流通,"The concept of 'distribution' plays an important role in many real-life situations, helping us better understand and use it effectively."
distributional,	分布,"The concept of 'distributional' plays an important role in many real-life situations, helping us better understand and use it effectively."
distributions,	分布,We found several distributions.
distributive,	分配,"The concept of 'distributive' plays an important role in many real-life situations, helping us better understand and use it effectively."
distributor,	ディストリビューター,She is an distributor.
distributors,	代理店,We found several distributors.
redistribute,	再 分配,"The concept of 'redistribute' plays an important role in many real-life situations, helping us better understand and use it effectively."
redistributed,	再 分配,I redistributed the report.
redistributes,	再配布,We found several redistributes.
redistributing,	再 分配,They are redistributing the results.
redistribution,	再配分,"The concept of 'redistribution' plays an important role in many real-life situations, helping us better understand and use it effectively."
economy,経済,"The concept of 'economy' plays an important role in many real-life situations, helping us better understand and use it effectively."
economic,	経済的,"The concept of 'economic' plays an important role in many real-life situations, helping us better understand and use it effectively."
economical,	徳用,"The concept of 'economical' plays an important role in many real-life situations, helping us better understand and use it effectively."
economically,	経済的,"The concept of 'economically' plays an important role in many real-life situations, helping us better understand and use it effectively."
economics,	経済学,We found several economics.
economies,	経済,We found several economies.
economist,	エコノミスト,"The concept of 'economist' plays an important role in many real-life situations, helping us better understand and use it effectively."
economists,	エコノミスト,We found several economists.
uneconomical,	不経済,"The concept of 'uneconomical' plays an important role in many real-life situations, helping us better understand and use it effectively."
environment,環境,"The concept of 'environment' plays an important role in many real-life situations, helping us better understand and use it effectively."
environmental,	環境,"The concept of 'environmental' plays an important role in many real-life situations, helping us better understand and use it effectively."
environmentalist,	環境保護主義者,"The concept of 'environmentalist' plays an important role in many real-life situations, helping us better understand and use it effectively."
environmentalists,	環境,We found several environmentalists.
environmentally,	環境,"The concept of 'environmentally' plays an important role in many real-life situations, helping us better understand and use it effectively."
environments,	環境,We found several environments.
establish,作る,"The concept of 'establish' plays an important role in many real-life situations, helping us better understand and use it effectively."
disestablish,	ディスエスタブルメント,"The concept of 'disestablish' plays an important role in many real-life situations, helping us better understand and use it effectively."
disestablished,	確立されていない,I disestablished the report.
disestablishes,	ディスアソシエーション,We found several disestablishes.
disestablishing,	ディスアスティッシング,They are disestablishing the results.
disestablishment,	ディスエスタブリッシュメント,"The concept of 'disestablishment' plays an important role in many real-life situations, helping us better understand and use it effectively."
established,	既成,I established the report.
establishes,	確立,We found several establishes.
establishing,	確立,They are establishing the results.
establishment,	確立,"The concept of 'establishment' plays an important role in many real-life situations, helping us better understand and use it effectively."
establishments,	施設,We found several establishments.
estimate,見積もる,"The concept of 'estimate' plays an important role in many real-life situations, helping us better understand and use it effectively."
estimated,	推定,I estimated the report.
estimates,	見積もり,We found several estimates.
estimating,	推定,They are estimating the results.
estimation,	推定,"The concept of 'estimation' plays an important role in many real-life situations, helping us better understand and use it effectively."
estimations,	見積もり,We found several estimations.
over estimate,	買い被る,"The concept of 'over estimate' plays an important role in many real-life situations, helping us better understand and use it effectively."
overestimate,	買い被る,"The concept of 'overestimate' plays an important role in many real-life situations, helping us better understand and use it effectively."
overestimated,	過大 評価,I overestimated the report.
overestimates,	過大評価,We found several overestimates.
overestimating,	過大 評価,They are overestimating the results.
underestimate,	過小評価する,"The concept of 'underestimate' plays an important role in many real-life situations, helping us better understand and use it effectively."
underestimated,	過小 評価,I underestimated the report.
underestimates,	過小 評価,We found several underestimates.
underestimating,	過小 評価,They are underestimating the results.
evident,明らか,"The concept of 'evident' plays an important role in many real-life situations, helping us better understand and use it effectively."
evidenced,	証明,I evidenced the report.
evidence,	証拠,"The concept of 'evidence' plays an important role in many real-life situations, helping us better understand and use it effectively."
evidential,	証拠,"The concept of 'evidential' plays an important role in many real-life situations, helping us better understand and use it effectively."
evidently,	明らかに,"The concept of 'evidently' plays an important role in many real-life situations, helping us better understand and use it effectively."
export,輸出,"The concept of 'export' plays an important role in many real-life situations, helping us better understand and use it effectively."
exported,	エクスポート,I exported the report.
exporter,	輸出,She is an exporter.
exporters,	輸出 業者,We found several exporters.
exporting,	エクスポート,They are exporting the results.
exports,	輸出,We found several exports.
factor,因子,She is an factor.
factored,	考慮,I factored the report.
factoring,	ファクタリング,They are factoring the results.
factors,	要因,We found several factors.
finance,金融,"The concept of 'finance' plays an important role in many real-life situations, helping us better understand and use it effectively."
financed,	融資,I financed the report.
finances,	金融,We found several finances.
financial,	金融,"The concept of 'financial' plays an important role in many real-life situations, helping us better understand and use it effectively."
financially,	財政,"The concept of 'financially' plays an important role in many real-life situations, helping us better understand and use it effectively."
financier,	金融,She is an financier.
financiers,	金融,We found several financiers.
financing,	融資,They are financing the results.
formula,式,"The concept of 'formula' plays an important role in many real-life situations, helping us better understand and use it effectively."
formulae,	式,"The concept of 'formulae' plays an important role in many real-life situations, helping us better understand and use it effectively."
formulas,	数式,We found several formulas.
formulate,	定式化する,"The concept of 'formulate' plays an important role in many real-life situations, helping us better understand and use it effectively."
formulated,	策定,I formulated the report.
formulating,	策定,They are formulating the results.
formulation,	定式 化,"The concept of 'formulation' plays an important role in many real-life situations, helping us better understand and use it effectively."
formulations,	製剤,We found several formulations.
reformulate,	再定式化,"The concept of 'reformulate' plays an important role in many real-life situations, helping us better understand and use it effectively."
reformulated,	再処方,I reformulated the report.
reformulating,	再定式化,They are reformulating the results.
reformulation,	改質,"The concept of 'reformulation' plays an important role in many real-life situations, helping us better understand and use it effectively."
reformulations,	再定式化,We found several reformulations.
function,機能,"The concept of 'function' plays an important role in many real-life situations, helping us better understand and use it effectively."
functional,	機能的な,"The concept of 'functional' plays an important role in many real-life situations, helping us better understand and use it effectively."
